family_key	logical_instance	orientation	trusted_status	baseline_17s_result	parameter_values_json
param:tlsf/arbiters_zoo/parametric/abcg_arbiter.tlsf	abcg_arbiter_pb_6_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 6}"
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter_pb_10_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/arbiter.tlsf	arbiter_pb_10_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange_pb_7_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 7}"
param:tlsf/arbiters_zoo/parametric/arbiter_on_inpchange.tlsf	arbiter_on_inpchange_pb_7_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 7}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer_pb_10_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_buffer.tlsf	arbiter_with_buffer_pb_10_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel_pb_10_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/arbiter_with_cancel.tlsf	arbiter_with_cancel_pb_10_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 10}"
param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter_pb_5_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/arbiters_zoo/parametric/rw_arbiter.tlsf	rw_arbiter_pb_5_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 5}"
param:tlsf/chomp_game/parametric/chomp.tlsf	chomp_pb_4_6_pe_.ltl	real	REALIZABLE	TIMEOUT	"{""N"": 4, ""M"": 6}"
param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3_pb_15_pe_.ltl	real	unknown	TIMEOUT	"{""n"": 15}"
param:tlsf/collector/parametric/collector_v3.tlsf	collector_v3_pb_15_pe_.ltl	unreal	unknown	TIMEOUT	"{""n"": 15}"
