suite	instance	set	mechanism	actions_seen	max_f	loops	aut_states	translation_ms	equivariant_decline	acacia_seconds	ltlsynt_seconds
syntcomp24	arbiter6.ltl	ltlsynt_only	M1 letter-loop	174144	729	2721	929	174	too many automaton states	17.034216	0.131735
syntcomp24	arbiter7.ltl	ltlsynt_only	M2 downset	1024	2187	8	2368	1210	attempted	17.043697	0.702966
syntcomp24	arbiter8.ltl	ltlsynt_only	M2 downset	1024	6561	4	5888	8716	attempted	17.055227	4.525146
syntcomp24	arbiter_with_buffer5.ltl	ltlsynt_only	M2 downset	9216	3872	10	497	53	low block payoff	17.035393	0.166079
syntcomp24	arbiter_with_buffer6.ltl	ltlsynt_only	M2 downset	32768	1984	8	1377	357	low block payoff	17.045566	1.558267
syntcomp24	arbiter_with_buffer7.ltl	ltlsynt_only	mixed	65536	1024	4	3649	3353	low block payoff	17.252744	15.436936
syntcomp24	arbiter_with_cancel5.ltl	acacia_slow	M2 downset	240813	1043	992	433	626	0/0 star gens	2.848843	0.198137
syntcomp24	arbiter_with_cancel6.ltl	ltlsynt_only	M2 downset	512	1179	8	1120	7968	attempted	17.034598	1.706583
syntcomp24	arbiter_with_cancel7.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.040421	16.005075
syntcomp24	detector_unreal12.ltl	acacia_slow	M2 downset	1278	2	640	44	381	no indexed input AP families; 0/0 star gens	0.484572	0.049335
syntcomp24	detector_unreal13.ltl	acacia_slow	M2 downset	1470	2	736	47	909	no indexed input AP families; 0/0 star gens	1.176585	0.078457
syntcomp24	detector_unreal14.ltl	acacia_slow	M2 downset	1790	2	896	50	2554	no indexed input AP families; 0/0 star gens	2.994562	0.152534
syntcomp24	detector_unreal15.ltl	acacia_slow	M2 downset	1662	2	832	53	6490	no indexed input AP families; 0/0 star gens	7.339232	0.313585
syntcomp24	detector_unreal16.ltl	ltlsynt_only	M2 downset	1342	2	672	56	16100	no indexed input AP families; 0/0 star gens	17.074595	0.692441
syntcomp24	finding_nemo_1.ltl	ltlsynt_only	M2 downset	14342	574	5420	375	69	no indexed input AP families; too few indexed clients	17.027872	0.025603
syntcomp24	finding_nemo_2.ltl	ltlsynt_only	mixed	25252	87	9023	2763	2055	too few indexed clients; too many automaton states	17.034095	0.038849
syntcomp24	finding_nemo_3.ltl	ltlsynt_only	mixed	43908	141	12624	122	77	0/0 star gens	17.021976	0.087324
syntcomp24	finding_nemo_4.ltl	ltlsynt_only	mixed	61620	361	19026	159	1070	0/0 star gens	17.036287	0.435441
syntcomp24	finding_nemo_5.ltl	ltlsynt_only	M2 downset	12400	1191	3712	197	19948	0/0 star gens	17.048868	6.093620
syntcomp24	full_arbiter_enc8.ltl	ltlsynt_only	M2 downset	64	128	2	22760	2885	attempted	17.025015	1.212506
syntcomp24	lift3.ltl	ltlsynt_only	M2 downset	1528	14060	192	169	11	too few indexed clients	17.028254	0.028085
syntcomp24	lift4.ltl	ltlsynt_only	M2 downset	512	5580	32	594	58	too few indexed clients; too many automaton states	17.017717	0.043160
syntcomp24	lift5.ltl	ltlsynt_only	M2 downset	1024	6915	32	1896	478	too many automaton states	17.041677	0.138964
syntcomp24	lift6.ltl	ltlsynt_only	M2 downset	2048	1310	32	5550	2303	too many automaton states	17.079908	0.705637
syntcomp24	lift7.ltl	ltlsynt_only	M1 letter-loop	0	0	0	15284	11354	not run	17.035262	4.071522
syntcomp24	lift_gr1+3.ltl	ltlsynt_only	mixed	3091424	9262	96608	270	38	too few indexed clients	17.030518	0.447355
syntcomp24	lift_gr13.ltl	ltlsynt_only	mixed	4384752	9066	274048	225	22	too few indexed clients	17.030136	0.087162
syntcomp24	lift_unary_enc3.ltl	ltlsynt_only	M2 downset	1272	18404	160	615	32	0/0 star gens	17.030262	0.043653
syntcomp24	lift_unary_enc4.ltl	ltlsynt_only	M2 downset	1024	2794	64	4219	1372	too many automaton states	17.046468	0.666258
syntcomp24	load_balancer6.ltl	acacia_slow	M2 downset	1164	352	20	2911	312	attempted	0.494368	0.245991
syntcomp24	ltl2dba_theta10.ltl	acacia_slow	M1 letter-loop	33792	22	256	51	413	no indexed input AP families; 0/0 star gens	0.627543	0.035879
syntcomp24	ltl2dba_theta12.ltl	acacia_slow	M1 letter-loop	159744	26	192	59	2204	no indexed input AP families; 0/0 star gens	3.308119	0.097762
syntcomp24	ltl2dba_theta14.ltl	ltlsynt_only	M1 letter-loop	262144	20	96	67	13996	no indexed input AP families; 0/0 star gens	17.064250	0.384453
syntcomp24	ltl2dba_theta16.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.053773	2.350942
syntcomp24	ltl2dpa13.ltl	acacia_slow	M2 downset	49020	105	12256	52	3	no indexed input AP families; 0/0 star gens	0.452927	0.022364
syntcomp24	ltl2dpa19.ltl	acacia_slow	M2 downset	3320	1920	416	96	11	no indexed input AP families; 0/0 star gens	0.636357	0.022258
syntcomp24	prioritized_arbiter10.ltl	ltlsynt_only	M2 downset	4759762	5761	2379881	65	5	no indexed input AP families; 0/0 star gens	17.027434	0.019669
syntcomp24	prioritized_arbiter12.ltl	ltlsynt_only	M2 downset	5706500	145	2853250	77	20	no indexed input AP families; 0/0 star gens	17.029926	0.022488
syntcomp24	prioritized_arbiter6.ltl	acacia_slow	M2 downset	1401598	1441	700800	41	1	no indexed input AP families; 0/0 star gens	2.782279	0.015582
syntcomp24	prioritized_arbiter7.ltl	ltlsynt_only	M2 downset	3329314	1051	1664657	47	1	no indexed input AP families; 0/0 star gens	17.028313	0.015556
syntcomp24	prioritized_arbiter8.ltl	ltlsynt_only	M2 downset	3806130	2017	1903065	53	2	no indexed input AP families; 0/0 star gens	17.032713	0.016318
syntcomp24	prioritized_arbiter9.ltl	ltlsynt_only	M2 downset	4282946	3529	2141473	59	3	no indexed input AP families; 0/0 star gens	17.027508	0.016690
syntcomp24	prioritized_arbiter_enc10.ltl	ltlsynt_only	M1 letter-loop	128	1344	8	94723	10672	no usable block layout	17.034196	6.931961
syntcomp24	prioritized_arbiter_enc8.ltl	ltlsynt_only	M2 downset	128	1567	16	18102	1100	too many automaton states	17.044425	0.533335
syntcomp24	prioritized_arbiter_unreal2100.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	73	not run	17.053673	0.099396
syntcomp24	prioritized_arbiter_unreal230.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	7	not run	17.058814	0.022514
syntcomp24	prioritized_arbiter_unreal260.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	24	not run	17.041320	0.039549
syntcomp24	robot_grid2_2.ltl	ltlsynt_only	M2 downset	512	9383	32	1185	330	too few indexed clients; too many automaton states	17.029659	0.660307
syntcomp24	round_robin_arbiter4.ltl	acacia_slow	M2 downset	14000	7154	875	453	18	0/0 star gens	7.726195	0.038743
syntcomp24	round_robin_arbiter5.ltl	ltlsynt_only	M1 letter-loop	40928	60	1279	1705	159	0/0 star gens; too many automaton states	17.037560	0.241399
syntcomp24	round_robin_arbiter6.ltl	ltlsynt_only	M1 letter-loop	114176	72	1784	6331	1763	0/0 star gens; too many automaton states	17.114720	2.744774
syntcomp24	simple_arbiter_enc10.ltl	ltlsynt_only	M1 letter-loop	64	166	4	71168	6765	no usable block layout	17.029535	10.610229
syntcomp24	simple_arbiter_enc8.ltl	ltlsynt_only	M1 letter-loop	41664	64	5208	5888	260	too many automaton states	17.028397	0.179436
syntcomp24	simple_arbiter_unreal225.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	3	not run	17.058568	0.025882
syntcomp24	simple_arbiter_unreal250.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	10	not run	17.059619	0.038791
syntcomp24	simple_arbiter_unreal260.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	14	not run	17.060334	0.047126
syntcomp24	simple_arbiter_unreal275.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	22	not run	17.059304	0.056934
syntcomp24	simple_arbiter_with_hints10.ltl	ltlsynt_only	M1 letter-loop	8192	103	8	6153	8501	0/0 star gens	17.181815	7.875966
syntcomp24	simple_arbiter_with_hints6.ltl	acacia_slow	M2 downset	224960	3396	3515	804	47	0/0 star gens; too many automaton states	12.384362	0.045022
syntcomp24	simple_arbiter_with_hints8.ltl	ltlsynt_only	M4 one-sided-race	2048	67	8	1607	1210	0/0 star gens	17.036781	0.323517
syntcomp24	tmp_13cfc6f2.ltl	ltlsynt_only	M1 letter-loop	1482720	614	46336	566	465	no indexed AP families; too many automaton states	17.015161	1.036507
syntcomp24	workstation_resupply_3.ltl	ltlsynt_only	M1 letter-loop	93552	1683	11694	169	244	no usable block layout; 0/0 star gens	17.031463	0.189808
syntcomp24	workstation_resupply_4.ltl	ltlsynt_only	M1 letter-loop	23648	1749	8	389	3250	0/0 star gens	17.083234	1.879784
syntcomp25	Automata32S.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	68	5	not run	17.061691	0.026567
syntcomp25	F-G-contradiction-111.ltl	ltlsynt_only	M1 letter-loop	131072	1024	17	10226	5369	no indexed input AP families; too many automaton states	17.117163	0.069245
syntcomp25	F-G-contradiction-13.ltl	acacia_slow	mixed	20400	4096	69	557	46	no indexed input AP families; too many automaton states	0.665113	0.024803
syntcomp25	F-G-contradiction-14.ltl	acacia_slow	mixed	32956	4096	108	649	47	no indexed input AP families; too many automaton states	1.405390	0.028269
syntcomp25	GF-G-contradiction2.ltl	acacia_slow	M1 letter-loop	35280	768	85	317	40	too few indexed clients	1.588270	0.029109
syntcomp25	GF-G-contradiction4.ltl	ltlsynt_only	M1 letter-loop	82120	4335	18	1922	725	too few indexed clients; too many automaton states	17.072921	0.100188
syntcomp25	GF-G-contradiction6.ltl	ltlsynt_only	M1 letter-loop	0	0	0	119	13131	too few indexed clients	17.037886	4.548886
syntcomp25	LedMatrix.ltl	ltlsynt_only	M3 translation-stall	1006	1	302	775	6928	no indexed AP families	17.061334	0.363401
syntcomp25	OneCounterGuiA8.ltl	acacia_slow	M1 letter-loop	1345932	242	6867	67	3404	no indexed AP families	3.265683	0.025476
syntcomp25	TwoCounters3.ltl	acacia_slow	M2 downset	31714	1	101	26	1589	no indexed AP families	1.407102	0.023237
syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	ltlsynt_only	M1 letter-loop	1008512	152	4653	700	704	too few indexed clients	17.029116	9.854469
syntcomp25	amba_decomposed_lock_pb_12_pe_.ltl	acacia_slow	M2 downset	16777216	1	26	10	3	no indexed input AP families	7.398904	0.023731
syntcomp25	amba_decomposed_lock_pb_13_pe_.ltl	ltlsynt_only	M2 downset	46727168	1	32	10	8	no indexed input AP families	17.167597	0.023889
syntcomp25	amba_decomposed_lock_pb_16_pe_.ltl	ltlsynt_only	M1 letter-loop	0	0	0	10	272	no indexed input AP families	17.113447	0.102793
syntcomp25	arbiter_pb_5_pe_.ltl	acacia_slow	M1 letter-loop	64480	743	2015	353	27	0/0 star gens	0.868379	0.041961
syntcomp25	arbiter_pb_6_pe_.ltl	ltlsynt_only	M2 downset	174144	2439	2721	929	174	too many automaton states	17.036728	0.131722
syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	ltlsynt_only	M2 downset	9216	3872	10	497	50	low block payoff	17.032543	0.173940
syntcomp25	arbiter_with_cancel_pb_5_pe_.ltl	acacia_slow	M2 downset	209709	1043	864	433	628	0/0 star gens	2.696421	0.202399
syntcomp25	arbiter_with_cancel_pb_6_pe_.ltl	ltlsynt_only	M2 downset	512	1179	8	1120	8087	attempted	17.035824	1.729422
syntcomp25	arbiter_with_cancel_pb_7_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.042600	16.752201
syntcomp25	chain-simple-30-real.ltl	acacia_slow	mixed	6	1	7	2046	267	no indexed input AP families; too many automaton states	0.410429	0.071235
syntcomp25	chain-simple-70-real.ltl	acacia_slow	M2 downset	6	1	7	4606	715	no indexed input AP families; too many automaton states	1.103868	0.131021
syntcomp25	chain-simple-param-70-real.ltl	acacia_slow	M1 letter-loop	63	144	32	1039	1186	no indexed input AP families; too many automaton states	1.149078	0.032899
syntcomp25	chomp_pb_2_3_pe_.ltl	acacia_slow	M1 letter-loop	14690	2	1256	47	3568	too few indexed clients	3.351960	0.021970
syntcomp25	chomp_pb_3_4_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.054780	0.120549
syntcomp25	evasion0.ltl	ltlsynt_only	mixed	40000	2902	17	8741	14872	no indexed input AP families; too many automaton states	17.047869	0.048795
syntcomp25	f-real-real.ltl	ltlsynt_only	M1 letter-loop	1070280	190	992	56	22	no indexed input AP families	17.031899	0.033671
syntcomp25	follow2.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.043569	2.289294
syntcomp25	follow3.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.064103	2.886440
syntcomp25	g-real0.ltl	acacia_slow	M1 letter-loop	49152	847	6754	280	24	too few indexed clients	6.005981	0.036740
syntcomp25	g-unreal-1-unreal.ltl	ltlsynt_only	M1 letter-loop	131072	512	110	957	48	no indexed input AP families	17.029396	0.036561
syntcomp25	g-unreal-111.ltl	acacia_slow	M1 letter-loop	86336	264	143	529	26	no indexed input AP families	3.939082	0.028720
syntcomp25	g-unreal-116.ltl	ltlsynt_only	M1 letter-loop	148480	452	128	749	40	no indexed input AP families	17.029019	0.033895
syntcomp25	g-unreal-117.ltl	ltlsynt_only	M1 letter-loop	149504	464	128	793	44	no indexed input AP families	17.028147	0.034777
syntcomp25	g-unreal-19.ltl	acacia_slow	M1 letter-loop	66896	240	114	441	21	no indexed input AP families	2.502453	0.027151
syntcomp25	g-unreal-32.ltl	acacia_slow	M1 letter-loop	44100	1024	106	315	40	too few indexed clients	3.520284	0.026034
syntcomp25	gf-unreal21.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	4	not run	0.010	0.024979
syntcomp25	gf-unreal28.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	5	not run	0.010	0.026769
syntcomp25	gf-unreal37.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	8	not run	0.015	0.032028
syntcomp25	gf-unreal46.ltl	wrapper_artifact	resolved empty-side partition	0	0	0	0	10	not run	0.017	0.033605
syntcomp25	heim-buechi-real.ltl	acacia_slow	M1 letter-loop	32768	318	31	3244	1828	no indexed input AP families; too many automaton states	2.046293	0.029513
syntcomp25	heim-double-x1.ltl	acacia_slow	M1 letter-loop	32768	1396	2357	253	68	no indexed input AP families; too few indexed clients	3.233697	0.024450
syntcomp25	heim-double-x11.ltl	ltlsynt_only	M2 downset	49152	1777	5209	1629	467	no indexed input AP families; too many automaton states	17.057388	0.031418
syntcomp25	heim-double-x2.ltl	acacia_slow	M1 letter-loop	24576	1629	2493	349	77	no indexed input AP families; too few indexed clients	2.926439	0.024412
syntcomp25	heim-double-x3.ltl	acacia_slow	M1 letter-loop	65536	1771	3069	457	110	no indexed input AP families; too few indexed clients	8.126814	0.024657
syntcomp25	heim-double-x9.ltl	ltlsynt_only	M2 downset	49152	1777	4665	1309	399	no indexed input AP families; too many automaton states	17.057131	0.030989
syntcomp25	infinite-race-u2.ltl	acacia_slow	M1 letter-loop	111952	3072	32	1519	396	no indexed input AP families; too many automaton states	1.998018	0.030229
syntcomp25	infinite-race-u24.ltl	ltlsynt_only	M1 letter-loop	90371	1883	384	10414	3198	no indexed input AP families; too many automaton states	17.079344	0.100237
syntcomp25	infinite-race-u3.ltl	acacia_slow	M1 letter-loop	131072	285	36	1874	461	no indexed input AP families; too many automaton states	2.408999	0.032547
syntcomp25	infinite-race-u5.ltl	acacia_slow	M1 letter-loop	262144	597	64	2833	660	no indexed input AP families; too many automaton states	15.088322	0.039769
syntcomp25	infinite-race-unequal-22.ltl	acacia_slow	mixed	108736	2688	416	964	327	no indexed input AP families; too many automaton states	2.521227	0.032717
syntcomp25	infinite-race-unequal-26.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.049490	4.556982
syntcomp25	lift_gr1_pb_3_pe_.ltl	ltlsynt_only	mixed	4105200	9066	256576	225	22	too few indexed clients	17.030876	0.086468
syntcomp25	lift_pb_3_pe_.ltl	ltlsynt_only	M2 downset	1528	14060	192	169	10	too few indexed clients	17.030066	0.026541
syntcomp25	load_balancer_unreal1_pb_6_4_pe_.ltl	ltlsynt_only	M3 translation-stall	14284	245	237	214	714	0/0 star gens	17.057717	16.617502
syntcomp25	ltl2dba_C2_unreal_pb_14_pe_.ltl	acacia_slow	M2 downset	1470	2	736	50	2516	no indexed input AP families; 0/0 star gens	3.296036	0.144633
syntcomp25	ltl2dba_C2_unreal_pb_15_pe_.ltl	acacia_slow	M2 downset	1726	2	864	53	6803	no indexed input AP families; 0/0 star gens	7.835383	0.305850
syntcomp25	ltl2dba_C2_unreal_pb_16_pe_.ltl	ltlsynt_only	M2 downset	1278	2	640	56	16508	no indexed input AP families; 0/0 star gens	17.073740	0.674709
syntcomp25	ltl2dba_theta_pb_12_pe_.ltl	acacia_slow	M1 letter-loop	159744	26	160	59	2363	no indexed input AP families; 0/0 star gens	3.804407	0.109182
syntcomp25	ltl2dba_theta_pb_14_pe_.ltl	ltlsynt_only	M1 letter-loop	64	15	32	67	16017	no indexed input AP families; 0/0 star gens	17.078809	0.412299
syntcomp25	ltl2dba_theta_pb_16_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.051809	2.392561
syntcomp25	ltl2dpa19.ltl	acacia_slow	M2 downset	3320	1920	416	96	11	no indexed input AP families; 0/0 star gens	0.690225	0.029384
syntcomp25	patrolling-alarm17.ltl	acacia_slow	M1 letter-loop	301716	498	298	702	325	too few indexed clients; too many automaton states	6.709105	0.048826
syntcomp25	patrolling-alarm21.ltl	acacia_slow	M1 letter-loop	450000	634	416	846	434	too few indexed clients; too many automaton states	15.462324	0.048276
syntcomp25	patrolling-alarm23.ltl	ltlsynt_only	M1 letter-loop	410832	4096	352	918	422	too few indexed clients; too many automaton states	17.035185	0.050930
syntcomp25	patrolling10.ltl	acacia_slow	M1 letter-loop	92040	256	160	450	114	too few indexed clients	1.145336	0.035461
syntcomp25	patrolling22.ltl	ltlsynt_only	M1 letter-loop	406224	406	288	882	415	too few indexed clients; too many automaton states	17.035067	0.058892
syntcomp25	patrolling9.ltl	acacia_slow	M1 letter-loop	91064	172	128	414	100	too few indexed clients	1.033471	0.033734
syntcomp25	prioritized_arbiter_enc_pb_10_pe_.ltl	ltlsynt_only	M1 letter-loop	128	1344	8	94723	12072	no usable block layout	17.035171	7.588421
syntcomp25	prioritized_arbiter_pb_6_pe_.ltl	acacia_slow	M2 downset	1325694	1441	662848	41	1	no indexed input AP families; 0/0 star gens	3.050204	0.021662
syntcomp25	prioritized_arbiter_pb_8_pe_.ltl	ltlsynt_only	M2 downset	3806130	2017	1903065	53	2	no indexed input AP families; 0/0 star gens	17.021647	0.020375
syntcomp25	prioritized_arbiter_unreal2_pb_60_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	29	not run	17.056806	0.042097
syntcomp25	reversible-lane-u-unreal.ltl	acacia_slow	M1 letter-loop	155512	360	30	51	81	no indexed input AP families	9.784350	0.287172
syntcomp25	reversible-lane-u0.ltl	acacia_slow	M1 letter-loop	142008	150	27	45	88	no indexed input AP families	3.582161	0.186739
syntcomp25	reversible-lane-u1.ltl	acacia_slow	M1 letter-loop	145204	231	28	48	76	no indexed input AP families	5.570724	0.237359
syntcomp25	robot-cat-real-1d-real.ltl	acacia_slow	M1 letter-loop	47168	1296	41	2201	1905	no indexed input AP families; too many automaton states	4.017092	0.038584
syntcomp25	robot-cat-unreal-1d-unreal.ltl	acacia_slow	M1 letter-loop	26316	996	800	2677	2116	no indexed input AP families; too many automaton states	2.703307	0.038199
syntcomp25	robot-grid-commute-1d-real.ltl	acacia_slow	M1 letter-loop	17548	509	13	3610	1594	no indexed input AP families; too many automaton states	2.109692	0.033088
syntcomp25	robot-resource-1d-unreal.ltl	acacia_slow	M1 letter-loop	176982	614	1529	1576	214	no indexed input AP families; too many automaton states	12.932279	0.027934
syntcomp25	robot-resource-1d1.ltl	acacia_slow	M1 letter-loop	29794	323	985	1062	131	no indexed input AP families; too many automaton states	1.066614	0.025385
syntcomp25	robot-resource-2d0.ltl	acacia_slow	M1 letter-loop	131072	422	24	45	28	no indexed input AP families	7.036927	0.031396
syntcomp25	robot-resource-2d1.ltl	ltlsynt_only	M1 letter-loop	178784	765	16	50	51	no indexed input AP families	17.045481	0.037717
syntcomp25	robot-resource-2d17.ltl	ltlsynt_only	M1 letter-loop	0	0	0	123	7974	no indexed input AP families	17.049000	0.104649
syntcomp25	robot-to-target-charging-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.064114	0.078990
syntcomp25	robot-to-target-charging19.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.053923	0.070020
syntcomp25	robot-to-target0.ltl	ltlsynt_only	M1 letter-loop	0	0	0	15461	16171	not run	17.042551	1.205307
syntcomp25	robot_repair0.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.063324	0.093719
syntcomp25	robot_repair1.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.052375	0.407133
syntcomp25	robot_running-real.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.064240	0.482079
syntcomp25	round_robin_arbiter_pb_6_pe_.ltl	ltlsynt_only	M1 letter-loop	114176	72	1784	6331	2106	0/0 star gens; too many automaton states	17.098640	2.949549
syntcomp25	simple_arbiter_unreal2_pb_25_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	3	not run	17.065068	0.025589
syntcomp25	simple_arbiter_unreal2_pb_50_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	10	not run	17.042614	0.034707
syntcomp25	simple_arbiter_unreal2_pb_60_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	16	not run	17.061151	0.043312
syntcomp25	simple_arbiter_unreal2_pb_75_pe_.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	22	not run	17.057081	0.060483
syntcomp25	simple_arbiter_with_hints_pb_10_pe_.ltl	ltlsynt_only	M1 letter-loop	8192	103	8	6153	10342	0/0 star gens	17.166705	8.507592
syntcomp25	sort40.ltl	acacia_slow	M1 letter-loop	57258	384	8	78	170	too few indexed clients	2.679675	0.042922
syntcomp25	sort51.ltl	ltlsynt_only	M3 translation-stall	0	0	0	137	7728	too few indexed clients	17.058729	0.372187
syntcomp25	square5x51.ltl	ltlsynt_only	M1 letter-loop	42624	1056	8	270	1248	no indexed input AP families	17.081451	0.093111
syntcomp25	tasks-unreal0.ltl	ltlsynt_only	M3 translation-stall	56055	4645	16	105	304	too few indexed clients	17.068459	0.073626
syntcomp25	taxi-service-u-unreal.ltl	acacia_slow	M1 letter-loop	16480	392	6	106	55	no indexed input AP families	1.452662	0.045052
syntcomp25	thermostat-F-real.ltl	ltlsynt_only	M1 letter-loop	149504	1044	1659	1569	1478	no indexed input AP families; too many automaton states	17.034986	0.034791
syntcomp25	thermostat-GF-unreal2.ltl	ltlsynt_only	M3 translation-stall	0	0	0	119	1277	not run	17.031730	1.500196
syntcomp25	tmp_13cfc6f2.ltl	ltlsynt_only	M1 letter-loop	1381344	614	43168	566	556	no indexed AP families; too many automaton states	17.033455	1.091749
syntcomp25	unordered-visits-charging0.ltl	ltlsynt_only	M3 translation-stall	0	0	0	147	250	too few indexed clients	17.049591	2.750413
syntcomp25	workstation_resupply_pb_3_pe_.ltl	ltlsynt_only	M1 letter-loop	93552	1683	11694	169	291	no usable block layout; 0/0 star gens	17.033066	0.194710
